#  t             x             y         z vx           vy          vz lat lon           alt         vit          pen         azi
3289.052187 -6202.616841 -236.0551194 -3442.426381 -0.272816048 -7.056462867 0.903330764 -29.15927301 -177.8205267 724.6897104 7.119276878 0.259774971 81.49878676
3388.720435 -6200.731982 -936.7154102 -3333.481405 0.310566242 -6.991917763 1.280693865 -28.13684281 -171.4095499 728.6048217 7.115022289 0.372236771 78.01828832
3488.388684 -6140.820709 -1627.53402 -3187.633003 0.890608381 -6.859208205 1.643145431 -26.78446275 -165.1558852 733.8896604 7.109278964 0.481484472 74.74255229
3588.056932 -6023.50331 -2301.800095 -3006.575824 1.461563032 -6.660128092 1.986544999 -25.12989526 -159.0863216 740.4950276 7.102100656 0.586522332 71.71318804
3687.72518 -5849.965839 -2953.01938 -2792.403616 2.017836993 -6.397222338 2.307033666 -23.20440437 -153.2156943 748.3588187 7.09355511 0.686358009 68.96024648
3787.393428 -5621.94112 -3574.986587 -2547.578534 2.554063172 -6.073734956 2.601085673 -21.04108763 -147.5477612 757.4062823 7.083723716 0.780008522 66.50319529
3887.061676 -5341.682893 -4161.852024 -2274.895683 3.065165922 -5.693546231 2.865552134 -18.67350485 -142.0768633 767.5503942 7.072701029 0.866508649 64.35268045
3986.729924 -5011.933833 -4708.181502 -1977.443737 3.54641845 -5.261101075 3.097696185 -16.13466913 -136.7899031 778.6923715 7.060594168 0.944921701 62.5126068
4086.398172 -4635.888292 -5209.008762 -1658.562491 3.993491307 -4.781330855 3.295219176 -13.4563933 -131.6682877 790.7223463 7.047522045 1.014352374 60.98218177
4186.06642 -4217.150668 -5659.879879 -1321.798253 4.402491356 -4.259571067 3.456277825 -10.66894119 -126.6896269 803.5202106 7.033614449 1.073961257 59.75770716
4285.734668 -3759.690387 -6056.889354 -970.8579719 4.76999099 -3.7014772 3.579492598 -7.800917114 -121.8290979 816.9566416 7.019010953 1.122980425 58.83402393
4385.402916 -3267.794443 -6396.707826 -609.5629459 5.093047723 -3.112941 3.663947807 -4.879327123 -117.0604746 830.8943041 7.003859672 1.160729446 58.20559681
4485.071165 -2746.018461 -6676.60153 -241.8029014 5.369214598 -2.500009137 3.709184201 -1.929755719 -112.3568683 845.1892204 6.988315857 1.186631137 57.86726959
4584.739413 -2199.13714 -6894.443859 128.5088515 5.596542139 -1.868805994 3.715184948 1.023386341 -107.6912463 859.692289 6.972540352 1.20022638 57.81473778
4684.407661 -1632.094893 -7048.719482 497.4785795 5.773572804 -1.22546197 3.682356055 3.956576336 -103.0368039 874.2509295 6.956697929 1.201187384 58.04478351
4784.075909 -1049.957358 -7138.521636 861.273104 5.899329018 -0.576048316 3.611502322 6.846880944 -98.36725914 888.7108212 6.940955521 1.189328869 58.55530662
4883.744157 -457.8643862 -7163.543285 1216.158206 5.973296 0.073480799 3.503799918 9.671664796 -93.65713719 902.9177042 6.925480373 1.164616754 59.34517162
5083.080653 735.5257557 -7020.925454 1884.9683 5.965987197 1.349948983 3.184230873 15.03406924 -84.0193986 929.9666672 6.895990991 1.077283807 61.76103393
